TEAM NAMES,Series Number,Filename,Name,Description,Gender,Attributes,UUID,Hash
,324,omondi-the-vegeterian,omondi the vegeterian,Omondi wears a green coat with lots of patterns. ,Male,hair: bald; eyes: sharp eyed; teeth: none;  clothing: green ankara; accessories: none; expression: alert; strength: leader; weakness: anxious,bfb5e8d5-d7a7-4aa8-85e8-d7d9afd4adb3,460fd0b48577cc3752fc25711d6b3e073ae708c555bf8707fa1574137f54954a
,325,barasa-the-optimist,barasa the optimist,Barasa looks up to the sky and makes a wish.,Male,hair: bald; eyes: blue; teeth: none; clothing: brown ankara; accessories:none; expression: awake; strength: strong willed; weakness: immoral,2da4bef4-38cc-4414-99ad-7361fac04b2b,15ff8ad4143969fb1fb52bd92ab41313538f468e9bde387d2d3f217f7ea93fb7
,326,mwembu-the-elder,mwembu the elder,Mwembu is old but not so old and yellow is his favorite color.,Male,hair: bald; eyes: black; teeth: none; clothing: dark ankara; accessories: none; expression: plain; strength: fulfilled; weakness: angry,36181230-6ac9-417f-af5c-23bdd2c25ecb,d37281e5628ba458a332632a6a5bf9b50abaf19109a62282dbd651d0ecb583b4
,327,mbogi-the-fighter,mbogi the fighter,Mbogi is captured and forced to wear a mask. ,Male,hair: bald; eyes:  black; teeth: none; clothing: one side ankara; accessories: none; expression: willfull; strength: fighter; weakness: rebellious,3a7bc3c4-1463-42ce-84c9-07337da64435,4d18da0c50d0b9738f6c50970936dc4d9e3cd267e4df08869ea128be54824d0f
,328,mrosho-the-runner,mrosho the runner,Mrosho has his mask on and yet still runs his race. ,Male,hair: bald; eyes: sea blue; teeth: none; clothing: purple ankara; accessories: none; expression: alert; strength: visionary; weakness: destructive,b2ca2c76-3b6d-43f1-8cc9-089b6ab83876,a18928f3103b013362536d2fbed13ca134fafc8291910a0a7351323fffbdda7c
,329,milele-the-african,milele the african,Milele wears a dress with a nice african print in orange.,Male,hair: bald; eyes: blue; teeth: none; clothing: orange ankara; accessories: none; expression: timid; strength: leader; weakness: failure,644b0259-d75c-456d-934c-ce7c052bad3a,25fda02465cd406dc4b27af0cf16f980b1cb0939aa6a73963636d6bd6aa60adb
,330,olebon-the-oloibon,olebon the oloibon,Olebon is in a customized buba sokoto.,Male,hair: bald; eyes: closed; teeth: none; clothing: animal print; accessories: none; expression: surprised; strength: empathy; weakness: easily bored,de261efe-731d-461e-b2e4-42edd2f48f72,3aed6e7744a0922909dc61b6262947966eed9a72d636678cce3a19cb9def3557
,331,chifu-the-maasai,chifu the maasai,Maasai shuka keeps bringing inspiration for new clothings. ,Male,hair: bald; eyes: closed; teeth: none; clothing: ankara shirt; accessories: none; expression: visionary; strength:  authentic; weakness: selfish,239933c4-7177-4b5b-86e8-e6f952301344,b3aa2239c83baea4ec63ec3c458ec0a51126d3288ac78357ebcca10bb2c67278
,332,mwangaa-the-voice,mwangaa the voice,Mwangaa the chief is controlling but still loved as he has a calming voice.,Male,hair: bald; eyes: blue; teeth: none; clothing: white lined ankara; accessories: none; expression: kindness; strength: brave; weakness: impatient,49179b62-812d-4d0f-b518-4af7fa79f8bc,43af977b8a98e42ecc9bdd7221c200d363207feb5afd8a05e9228e9877f1f01d
,333,waforte-the-first,waforte the first,Waforte loves to sleep and does nothing else.,Male,hair: bald; eyes: closed; teeth:none; clothing: jean ankara; accessories: none; expression: shy; strength: none;  weakness: selfish,871912a8-d96e-4594-b7b3-450d94ee6924,f39de6669454d6671a53bf6c9fdc1f19b9174a4b7ad577167f2a2aeaec09f942
,334,kariuki-the-prayerful-one,kariuki the prayerful one,Kariuki closes his eyes as he watches the sunset.,Male,hair: bald; eyes: closed eyes; teeth:none; clothing: none; accessories: none; expression: bored; strength: intelligent; weakness: passive,6a5b6fa6-0f91-4b01-957f-c766945eb704,3fbe9e8f94298317599acada243aa760e84eb4155c5057a8d474bab811c78f27
,335,kenyanese-the-priest,kenyanese the priest,Kenyaanese is a masked up man with a white cloth as his signature attire. ,Male,hair: bald; eyes: white; teeth: none; clothing: white jean shirt; accessories: none; expression: calculative; strength: kind; weakness: takes things personally,0706c338-42eb-4d26-84ea-c24b39628200,0211cf6a869d6aabae262b962192a461dd25e7ba0b956cd9bbaa9f93651d89d7
,336,nyimbo-the-singer,nyimbo the singer,Nimbo has his glasses on and a pot with hot porridge for the night,Female,hair: dreadlocks; eyes: glassed up; teeth:none; clothing: off shoulder ankara; accessories: a pot; expression: free spirited; strength: fair; weakness: impatient,d05af807-b3e9-4ad3-8df1-b7864d2daa33,c0124757d6370afcbccc21a20964964e516582d65810b51582aab706589fbde9
,337,maathai-the-nobel-winner,maathai the nobel winner,Mathaai the warrior is revered all over the land. ,Female,hair: pink afro; eyes: glassed up; teeth: none; clothing: colored ankara; accessories: none; expression: strict; strength: leadership;  weakness: short sighted,0871cb8c-8d56-445d-92c7-01793f327707,411f7012323ff1019330a2b39ea452f29c6b926a7d3afb05fc7073614e3f1579
,338,tish-the-angry-one,tish the angry one,Tish is always angry and with specs on he looks really mean. ,Female,hair: black huge afro; eyes: none; teeth: broken teeth; clothing: off shoulder ankara; accessories: none; expression: disgusted; strength: blunt; weakness: greedy,750a89dc-44ff-43bf-8211-b7776f1b5e52,b6f3cb5c4331f8bbd6a85897986481e836cb76ad87b2149c11c7fae35c1c92fe
,339,wamenza-the-winner,wamenza the winner,Wamenza the leader has led his team to yet another thrillig victory. ,Female,hair: laid back; eyes: none; teeth: none; clothing: off shoulder ankara; accessories: none; expression: meditative; strength: strict; weakness: impulsive,7348c9ed-4ac9-4785-9434-0a1f0dcaf8d8,e32450dbbf9086e8cd41ff051fc2e82ac92b64aa9c79ffe55f18e1927b47cfa4
,340,isaya-the-track-king,isaya the track king,Isaya the traveller has done a lot of travelling round Africa. ,Male,hair: none; eyes: glassed up; teeth: none; clothing: bright ankara; accessories: none; expression: taken aback; strength: straight forward; weakness: selfish,41781a16-d2b8-4fc6-a1f4-b9fffc5c95ba,f70e1f5073a085eec669f6f5507c10eae74a43e7b91e2906e8c95742ab3b9c2c
TEAM RULER,341,mansur-the-partyrider,mansur the partyrider,Mansur is the life of a party and never caught dulling.,Male,hair: none; eyes: ash grey; teeth: none;  clothing: agbda; accessories: studs; expression:happy; strength: intelligent; weakness: red whine,78db0f29-3936-4d9c-bb90-3dbf20dba2dd,e0ed72793e132d04010392b3596f674de1ddfd24f77b9227a6aefd80742e575c
,342,tola-the-businessman,tola the businessman,Tola loves business and owns several shops in Idumota.,Female,hair: none; eyes: midnightblack; teeth: none;  clothing: purple blowse; accessories: mask; expression:furious; strength: powerful; weakness: love,1c5d5a6b-cf04-4bf9-978e-22a7e9bc5819,9baf9069ee66b6788591a59efcc62e9313e53f1277bd30aafa6f913c686be81f
,343,abdullahi-the-honorable,abdullahi the honorable,"Popularly called ""buje budanu"" a godfather who lavishes money on young gees.",Male,hair: none; eyes: blue-blackish; teeth: none;  clothing: yoruba attire; accessories: none; expression:anxious; strength: foreseer; weakness:indecision,dd708276-445f-4483-8357-fc08e999328f,7ed852fa40309a0f68ac9dc4cd12ab1fd3d5c0391aa38deaf9339ab90e289a3b
,344,ojukwu-the-badguy,ojukwu the badguy,Ojukwu is a business minded guy but fun to be with.,Male,hair: bald; eyes: eagle eyeball; teeth: none;  clothing: yellow lining blowse; accessories: none; expression: none; strength: good eyes for fashion; weakness: lack will power,76c1eabf-15ea-446a-8426-472982c4d800,d56c5d2f8c6592415c43085632438f3fc9b29a533bedcf3ec77ff9da349c5862
,345,odunsi-the-egbonadugbo,odunsi the egbonadugbo,Odunsi loves to advise and people in the community rely on him.,Male,hair: none; eyes: dark brown; teeth: none; clothing: one shoulder gown; accessories: none; expression: none; strength: elegant; weakness: easily depressed,2912ab8b-5875-4277-a5c2-a0209aee90ae,f39ae485fcddccba78a6ef28ef49834914f860d56bbaae56d2ff89783dfa7623
,346,ogogo-the-sugardaddy,ogogo the sugardaddy,A rich oil magnate who loves to solve young women's problems with his millions.,Male,hair: none; eyes: cat eyes; teeth: none; clothing: purple danshiki; accessories:nose mask; expression: straight face; strength: brave ; weakness: too selfless,aa575f30-04ad-45f9-a798-199465117793,dd2554aa1c4b7438574a3efd9e6251f4e52000854f3c517ee517af1811953293
,347,suli-the-amalaseller,suli the amalaseller,Suli sells amala with respect and people say that's the secret to her sweet food.,Female,hair: low punk; eyes: cat eyes; teeth: none; clothing:brown babarigai; accessories:none; expression: furious; strength: wealthy; weakness: too emotional,46fd4821-04dd-4f65-9290-c130a00c4c93,c9036e6bc4cde2f2a019d3e3a8424f472bc0f077e19548997d03adb8c8157fba
,348,dolapo-the-afrocentric,dolapo the afrocentric,Dolapo loves African prints and loves to showcase culture.,Female,hair:bald; eyes: brown; teeth: none; clothing: one sided blowse; accessories: nose mask; expression: none; strength: beautiful; weakness: forgetful,cbab232b-5c62-4df8-867b-018a2e496cd4,8476e0448a5691aa5aea3abbf98f81b73d802149182c969c41501b7825a2dfd5
,349,danjuma-the-saddist,danjuma-the-saddist,Danjuma is a grumpy man no one likes to associate with him.,Male,hair: none; eyes: sky blue; teeth: none; clothing:purple agbada; accessories: neck beads; expression: excited; strength: outspoken; weakness: boring,5a42af57-186e-425b-b6b1-f72bda4911ef,5142b9a0ada03dfce3091a11b7d79bbd9f53bafe85f62c439c275885bf4972fc
,350,chinedu-the-farmer,chinedu the farmer,A hardworking farmer who has 6 boys who help out on the farm.,Male,hair: none; eyes: black; teeth: brown; clothing: one sided gown; accessories: none; expression: blushy; strength: easily loved; weakness: get angry easily,9e8a55d7-0d8d-465d-a628-08ddd387a2c6,b36243def4172895021b4b10d731b6a234f4f4900dae072b4d115bb2ed19a56e
,351,kola-the-baldguy,kola the baldguy,Kola is every girls dream man because of his hair style.,Male,hair: low cut; eyes: mouse eyes; teeth: none; clothing: gbariye style; accessories: nose mask; expression: unhappy; strength: good eyes for details; weakness: sluggish,c32f1757-da9c-49e8-bd79-510a42b6971a,4c758335623970c6fca515e8bf3ec0b3559b8541e2e9a5e648d83ab8920e2c02
,352,bola-the-bosslady,bola the bosslady,A lady who supports the boy child by providing scholarship to young talented males.,Female,hair: low cut; eyes: brown; teeth: none; clothing: short orange gown; accessories: nose mask; expression: none; strength: industrious; weaknes:spend lavishly,09ff910d-a2be-49d5-8b27-b9378458701c,b2821edf967c1598690640b51e87dd7bb8af960ae161695114e0725029e40538
,353,kunle-the-alienguy,kunle the alienguy,Kunle is special and easily get noticed even in the midst of crowd.,Male,hair: green punk; eyes: green; teeth: none; clothing: purple agbada; accessories: purple beads; expression: unbothered; strength: very energetic; weaknes:eaaily give in,dea2f5d8-e3ba-4d3f-9a17-0a7edfd0c100,cf74e4d7907fa26bb0c0ca3a9c57872642431f5101381096222a9bc6d07010d5
,354,segun-the-sharp,segun the sharp,Segun drives with caution and people love him for that.,Male,hair: green punk; eyes: black ; teeth: none; clothing: orange buba; accessories: nose mask; expression: bitchy; strength: team player; weaknes: none,f9159a9c-f48d-4aee-bcc1-63c86209f806,b2551d5879db033d075576a06c221d2e880c4b30ce0deee577a95ba0cb29e531
,355,ola-the-hardguy,ola the hardguy,Ola may be feared but he is such a coolheaded champ.,Male,hair: none; eyes: closed eyes; teeth: none; clothing: purple buba; accessories: none; expression: sick; strength: quick recovery power; weaknes: get ill frequently,a814fc77-bdfa-4e50-8ba8-3e4e4bcfb3c0,d357551599233e854ec5d159acad7b14fcf9a1a5cf4b19e2a92b995cc3dda52d
,356,emeka-the-chief,emeka the chief,Crowd are always at Emeka's house because of his selflessness.,Male,hair: none; eyes: closed eyes; teeth: none; clothing: pakaja attire; accessories: none; expression: bossing; strength: easily comman respect; weaknes: not a ladies man,195e89c8-0b6f-43ad-9a2c-d20f03439e96,dfd2e5603bd471a24de123579ae132398f7c03fd2b33ad31ce6216b1724ecdf1
,357,ugochukwu-the-celeb,ugochukwu the celeb,Ugochukwu is an online celebrity with many followers on social media.,Male,hair: white blode; eyes: closed eyes; teeth: closed teeth; clothing: black gown; accessories: gold shades; expression: bitchy; strength: enterprising; weaknes: too emotional,74775cda-cff4-4d21-8819-693127598eca,1cd809a8b7ffe0511ab94a89fd6e584f43e68744df98679b00a8c71d70e91962
,358,adekunle-the-yorubademon,adekunle the yoruba demon,He might be every woman's man but faithful and loyal to one.,Male,hair: gobi cap; eyes: closed eyes; teeth: closed teeth; clothing: ghana dansiki; accessories: gold shades; expression: owanbe mood; strength: from a walthy home; weaknes: disrespectful,5c98c2d8-3144-4e08-8a0f-9b8d7e4f5aa7,d7d222f7c5de0f47814fa458e21cf0f191813bfaea46cca7d13817f2f69cde7a
,359,favour-the-fashionista,favour the fashionista,Combining dresses is not a problem for Favour.,Female,hair: black ghana weaving; eyes: cat eyes; teeth: none; clothing: senegalese blowse; accessories: gold shades; expression: party rider; strength: smart; weaknes: lazy,19fc15c3-80fe-4d45-a2fe-be8f087d57c4,91e5ec5f883f798ed09bb94d621d279467a2a72b9f7a929a3323710b267173fa
,360,jane-the-slayqueen,jane the slayqueen,Jane is always found in the midst of men and loves partying.,Female,hair: long grey braids; eyes: closed; teeth: black lips; clothing: black short gown; accessories: gold shades; expression: happy; strength:very intelligent; weaknes: have mood swings easily,74775cda-cff4-4d21-8819-693127598eca,69aaf0f693dfe0aac83ece2a7329474baad3458ad5e9365c6ff8409ec93bcd1a
TEAM VBELT,361,osas-the-ceo,osas the ceo,Meet Osas; a Gen-Z CEO with the British accent.,Female,hair: purple dreadlocks;  eyes: none; teeth: none; clothing: danshiki;  accessories: gold glasses; expression: none; strength: none; weakness: none,b10f7e42-4778-49db-820b-dabbad75504a,8972b57950e47ffaec0eb43ec9a61ae41aa9251fd8c495b60845d60802efa236
,362,nneka-the-rainbow babe,nneka the rainbow babe,Nneka; the happy rainbow babe with the vibes.,Female,hair: pink;  eyes: none; teeth: none; clothing: blue and black bichrome; accessories: gold glasses; expression: none; strength: none; weakness: none,e7e20ab8-03e0-4e0a-80aa-6e193f84426e,47d17eeebfacec650c143ed4b07674c74b0e231a31e374b09164883a048ff102
,363,temitope-the-spoilt girl,temitope the spoilt girl,Temitope; our favourite daddy's girl.,Female,hair: none; eyes: none; teeth: vampire teeth; clothing: right one-shoulder wax print; accessories: gold glasses; expression: none; strength: none; weakness: none,10cbcbcb-754e-4175-b85d-d0c7eafa16a2,ad8d62ba2ed390bdde24b6ba58947356606ac44dba2708ed060a215871457b1b
,364,bekeh-the-party animal,bekeh the party animal,Baby Bekeh is life of the party that goes home with your charger.,Female,hair: dark brown;  eyes: none; teeth: none; clothing: left one-shoulder wax print; accessories: gold glasses; expression: none; strength: none; weakness: none,f0558235-3043-46e5-b26c-5bde83cc67fb,685ddcca5bc1f061e1fd3c7f0f72fb6d7a19a4d0a18185e278d53a9931df5d3d
,365,nana-the-tech lady,nana the tech lady,Nana; the tech madam that doubles as Kumasi Adele in her bathroom every morning.,Female,hair: black; eyes: none; teeth: none; clothing: print kente;  accessories: gold glasses; expression: none; strength: none; weakness: none,e0858913-7050-4c4a-a2a0-442a88463334,e6c1d7360a5cc04be260f85e49eb53ea0ae37067db3ef41156c66c0d1b2a6cd3
,366,rofiat-the-marketer,rofiat the marketer,Rofiat; the distressed marketing intern.,Female,hair: purple dreadlocks; eyes: brown; teeth: none; clothing: danshiki; accessories: none; expression: none; strength: none; weakness: none,1e4d9bda-f6f9-4e7a-9381-bee4b074b56d,6578f3eb3d3faa6c64434eaeba1009075fc64dd7bb57a8a7d8ecc1b7e5c1cbde
,367,zarifa-the-righteous,zarifa the righteous,Meet Zarifa; a proper baddie for Christ.,Female,hair: pink; eyes: blue; teeth: none; clothing: v-neck original kente; accessories: none;  expression: none; strength: none; weakness: none,c6955d16-c343-46bc-9bed-c069ea8cc65a,9521f0c48aae0e402282b125bf31511ed4816a8b213f56036c04e10f5c6ef58f
,368,modinat-the-troublesome,modinat the troublesome,Modinat; The queen of gbas gbos.,Female,hair: long maroon hair; eye: none; teeth: vampire teeth; clothing: right one-shoulder wax print; accessories: brown glasses; expression: none; strength: none; weakness: none,49eb44e8-1117-463b-b7b3-1bcea4258362,b36c93783aab1ffe669b4bea7ee3e0a07787175575a57690f71d7f30cfff44fb
,369,amaka-our-mummy-g.o,amaka our mummy g.o,Here's Amaka; our one and only mummy G.O who's been to hell and back.,Female,hair: dark brown; eyes: blue; teeth: none; clothing: blue v-neck wax print; accessories: none; expression: none; strength: none; weakness: none,853edc40-0f9d-40c5-ba78-46067dfd7f68,433bf3cb85239bb02598f6a04c9745900fc337c66ec27ab569fd103ab815ca23
,370,mawusi-the-patient,mawusi the patient,Meet Mawusi; the sweet sister waiting for her Canadian bobo.,Female,hair: black; eyes: blue; teeth: none; clothing: print kente; accessories: beret; expression: none; strength: none; weakness: none,ca9ddc30-141a-493d-851b-71d34f599641,672a97886021520c57387a54017aa3a28281232f66eddce926d00e8c209c15f5
,371,nesta-the-difficult,nesta the difficult,Meet Nesta;the National Chairlady; (SAN)Shege Administrators of Nigeria.,Female,hair: double puffy hair; eyes: brown; teeth: none; clothing: bow neck wax print; accessories: hair bands; expression: none; strength: none; weakness: none,fc3b7ca7-efdb-45b2-b7c9-e69107484a43,6f04b9722834122f2483fdcf5c800c051d07a1630965d15eaacda1a48508fd4f
,372,adaora-the-choir mistress,adaora the choir mistress,Adaora; a lovely choir mistress who loves her boyfriend.,Female,hair: black; eyes: brown; teeth: none; clothing: none; accessories: choker necklace; expression: none; strength: none; weakness: none,df944505-da1a-424e-88aa-b9d365bd2775,a5a11ee2f2e11afeaf7e70f8b025221c8877aa5e3f6918fd770063f7815302d6
,373,busayo-the-husband snatcher,busayo the husband snatcher,Miss Busayo; loves being around her husband.,Female,hair: brown; eyes: brown; teeth: none; clothing: none; accessories: none; expression: none; strength: none; weakness: none,73c8d935-4a71-41d2-a1de-066ae8d548e6,c4da16c8c1290b6bbdf82ab328acdf19e40d6048592e42476cb65a6c0a082fc4
,374,wangari-the-waitress,wangari the waitress,Wangari; the aspiring musician that doubles as a waitress.,Female,hair: purple dreadlocks; eyes: brown eyes; teeth: none; clothing: none; accessories: purple earrings; expression: none; strength: none; weakness: none,4bd7a15b-cc66-4e2d-8fdb-d550f2dd645c,0d6e127245ba89c553ced7d04c27876538c8304a12f06dda1447165c840f8973
,375,charlene-the-shy lady,charlene the shy lady,Meet Charlene; the shy sweetheart next door.,Female,hair: brown afro; eyes: brown; teeth: none; clothing: black dress; accessories: none; expression: none; strength: none; weakness: none,36539b84-ada0-43cb-92d4-30596e07a39a,d64e8c0aec867b2132644884f8f094131e0b9b8ddb91f6fb4a2694a25572a7eb
,376,addae-the-unretired,addae the unretired,Mummy Addae; the hot grandma that has refused to retire.,Female,hair: brown; eyes: brown; teeth: none; clothing: danshiki; accessories: choker necklace; expression: none; strength: none; weakness: none,ced7b53c-73de-4fc7-a652-2b17ebfe68c9,b788172fe5e21fd42a797d4d6dd02eca084e998a2929d336ed5dbe54197312a0
,377,abena-the-slay queen,abena the slay queen,Abena; the gang's slay queen.,Female,hair: long brown braids; eyes: squinting; teeth: none; clothing: v-neck original kente; accessories: none; expression: none; strength: none; weakness: none,1e4728e1-3e45-4972-9755-4a38e784ff91,43a6aca4319398f03d69584e3ebde2ff5811ccf6c9679d7ce5292e972cd31f79
,378,gasira-the-violence mama,gasira the violence mama,Sister Gasira; wipes people Oraimo cord for a living.,Female,hair: brown bun; eyes: none; teeth: vampire teeth; clothing: right one-shoulder wax print; accessories: none; expression: none; strength: none; weakness: none,ea72337f-658f-4198-9ad6-39bc6212c20d,36eb3cafecfa50369fe11e660bd84f7e17c25573ce3f82f1bd61019a6b940f86
,379,salamatou-the-exchange student,salamatou the exchange student,Salamatou; an Ivorian exchange student who's in love with amala.,Female,hair: black; eyes: squinted; teeth: none; cothing: none;  accessories: beret; expression: none; strength: none; weakness: none,0e216fd1-d96a-4e3c-a59b-c807f772c5b3,60e2e33f5a52413447d5e579650b86e513d38e467a8b388bc51e1b4aef267159
,380,nguyen-the-foreigner,nguyen the foreigner,Meet Nguyen; the Asian aunt that's addicted to waakaye.,Female,hair: dark brown; eyes: squinted; teeth: none; clothing: print kente; accessories: none; expression: none; strength: none; weakness: none,0381301b-b5a3-42c1-9f73-2c43c0b8493f,7c74d0f41804dfbcee1c01aef9674408fdb08f1304311d353b441886c74977f8
TEAM AXE,381,baba-ijebu-the-gambler,baba ijebu the gambler,Baba Ijebu likes to spend all his money playing ayo; he plays till the moon is high.,Male,hair:none; eyes: sky blue; teeth: none; clothing: none; accessories: facemask; expression: none; strength: creation god; weakness: love,26340cc4-e334-494e-a737-f2b4bb9bb22e,e769f288978b9621e2e7a3afa7b9a46272a1f38bd3502f895609942a6aae9529
,382,amadi-the-palmwine-tapper,amadi the palmwine tapper,Amadi sells his palmwine at the village square.,Male,hair: bald; eyes:shut; teeth: none; clothing: none; accessories: facemask; expression: none;strength: thunder bolt; weakness: palmoil,a0586a93-7aff-43cc-8282-d081b8d6fe90,c1dc77b16eb5133ba0f89323db1caf52b70a79af686ae7693ee59ac7ac64451a
,383,saro-the-betrayer,saro the betrayer,Saro is mean; wicked and serves breakfast on a weekly basis.,Male,hair:shiny bald; eyes:none; teeth: none; clothing: asooke; accessories: none; expression: cunning; strength: thunder clap; weakness: mice,15e1775c-74fe-4a0b-b79c-49f6b730fa89,dd11cab7d671494001feed3f720e74e4b98dc14de43a7edadce2f01ceffc979b
,384,tope-the-baller,tope the baller,Tope is an alte fashion king in Lagos who spends most of his nights at the club.,Male,hair: shiny bald; eyes: aquamarine; teeth: none; clothing: none; accessories: none; expression: childlike; strength: healing; weakness: fire,311a6713-66c9-43ce-82d8-e3ce03a87a81,f4b31009a27d0f60bbb11c9b6e7dd3fab0b11d12091d6f8b1c81561667895ab5
,385,kwame-the-maths-teacher,kwame the maths teacher,Kwame teaches maths and is well known for punishing students.,Male,hair: none; eyes: squinted; teeth: none; clothing: yellow danshiki with patterns; accessories: none; expression: none; strength: none; weakness: none,9c34a73f-33ee-4577-aba8-0982c1656ba7,e5fb481152c92d26445d8153846b02f40cd71b0e855d296f567a1bb283df2ad9
,386,jagaban-of-afrobeats,jagaban of afrobeats,Jagaban is a party mover who wows the crowd with his theatrics.,Male,hair: none; eyes: sleepy; teeth: none; clothing: black danshiki with patterns; accessories: facemask; expression: none; strength: illusions; weakness: mirrors,784f0f6b-4273-4a31-88d7-2455b96c9011,6cbc9b4738bbedc38b379e83f15d2afda4041bc0abf8730132e230d4b6aec38c
,387,nyame-the-traveller,nyame the traveller,Nyame and adventure loving traveller who loves to explore the African continent.,Male,hair:bald; eyes:black; teeth: none; expression: serious; clothing: yellow patterned danshiki with black lining; accessories: facemask; expression: none; strength: heatblast; weakness: cattles,f3af0bbd-0724-4696-89ff-ed67f63e6b4f,e4fe009c9f4a3316075ad8340889bca9a1e245578f634f827436511cd75820a4
,388,adewale-the-gardner,adewale the gardner,Adewale is a hardworking and resourceful lover of plants.,Male,hair: none; eyes: pitch black; teeth: none; clothing: yellowish blue native; accessories: none; expression: mysterious; strength: oro ase; weakness: none,c447c120-830e-4543-9cb3-5917ba36bce8,a8f43f32aea7f36d3209200adbaa9b0a72bd026e828f432900161b4a4400f02e
,389,emeka-the-driver,emeka the driver,Emeka is a fixture on the bustling streets of Lagos.,Male,hair: black; eyes: none; teeth: none; clothing: print kente; accessory: gold glasses and beret; expression: none; strength: none; weakness: none,dacbbb38-087d-4248-8085-13b619da0ef9,5da9ed4a8c48a6ea8a617ced201eb1af1021eb59d4115d4caef6ff88af3a6d1a
,390,abang-the-wordsmith,abang the wordsmith,Abang is a storyteller and connoisseur of words.,Male,hair: shiny bald; eyes: none; teeth: none; clothing: whitish blue ankara; accessories: none; expression: amused; strength: ironclaw; weakness: wood,94c607b3-791e-40df-bd93-50926f094143,107359fb1de122fda2b84f22404dca2b08b2bb1455c9484db951a99eac00f860
,391,onome-the-stylist,onome the stylist,Onome is a fashionista with a pereferece for pipes over cigars.,Female,hair: fuzzy brown; eyes: none; teeth: none; clothing: patterned danshiki;  accessories: glasses and pipe; expression: baddie; strength: all knowing; weakness: ignorance,b3427836-627b-41e4-a2d0-c29473448343,ef5eeb8e54e90d93c923f8b0cbbadb530a40a4da5ec0a1966a243ce6d47b8da5
,392,adaeze-the-developer,adaeze the developer,Adaeze is a gen-z software engineer whose favourite colour is purple.,Female,hair: purple braids; eyes: none; teeth: none; clothing: darkish blue buba; accessories: glasses; expression: bitchy; strength: seduction; weakness: dirt,22aaebe4-4659-44de-ab3d-c4dae11fe9f5,4fffe2b9ddaf2e023636631fca50cbfb3e468f9c5dcef6282d9739fa18829768
,393,precious-the-sidechick,precious the sidechick,Precious can be found in every happening party in the cities of Lagos & Abuja. A Small girl with a big God.,Female,hair: black knob; eyes: none; teeth: none; clothing: patterned kente; accessories: berret and glasses and gum; expression: unbothered; stength: foresight; weakness: wine,ca720bf9-5e47-4421-b38f-bc62162ae99e,23f8f46bfc8cf68a02f6de0945d7bf889fbb10b6ef5e22fbba05c48ea543b47b
,394,ella-the-creative,elle the creative,"Ella is a smart, resourceful and an intellligent copywriter in a marketing firm.",Female,hair: light brown cornrows; eyes: none; teeth: none; clothing: patterned isiagu;  accessories: glasses; expression: blank; strength: none; weakness: none,3b795bad-91b4-4d0e-8ed8-bccbb226fc55,dad0c8f242666cc59e490138b792c8d256ace8e3de8d49905f37436e9ec67e00
,395,maame-the-starter,maame the starter,Maame is a no nonsense tough cookie who is never afraid to start something.,Female,hair: brown wavy; eyes: none; teeth: vampiric; clothing: yellow patterned kento; accessories: glasses; strength: scale of justice; weakness: anansi,2aebd094-3be5-4773-a7a0-361f6332a7d4,db45bc0a9defccaa8a1a9e7a2e705641e5dc360518185d51a76d59316d8bb81d
,396,abigail-the-beautiful,abigail the beautiful,Abigail is the k-pop stan who loves comic books.,Female,hair: wavy brown curls; eyes: aquamarine; teeth: none; clothing: drum patterned danshiki; accessories: earrings; expression: none; strength: moonbeam; weakness: erinle,fb148f97-d309-45a4-b902-4e066ca13f96,da0e42e2f69cc743c409a147081ca71b2cc880b45adc0170ee062bd6138dc52b
,397,abike-the-iya-loja,abike the iya loja,Abike is a well known trader & the iya-loja of the largest market in Lagos.,Female,hair: purple bun; eyes: midnight black; teeth: vampiric; clothing: purpulish black buba; accessories: berret; expression: scary; strength: hammer of justice; weakness: oya,7b210c03-5446-462d-980e-c73dbbc1e386,c4ba6818bd95e57632a0a01e037f7a2b3615beefc94cc49e10f65c06b51f33c3
,398,ashanti-the-gold seller,ashanti the gold seller,Ashanti is a well known gold trader whose trinkets are one of a kind.,Female,hair: brown curly bun; eyes: deep brown; teeth: none; clothing: multicoloured kento; accessories: pipe; expression: amused; strength: lovefist; weakness: easily deceived,80b51092-3fbc-4d0c-8518-fc461ccb6c80,0d561ff60e5b3b40b3bd76ce06ad4d0e0a46f0962edd02e197f237a7a745506e
,399,yemoja-the-cool,yemoja the cool,Yemoja is a content creator who is known for her cool girl aesthetic.,Female,hair: orange pigtail; eyes: dark brown; teeth: none; clothing: black patterned kento; accessories: hair clip; expression: dismayed; strength: none; weakness: none,1693b44d-96cf-4c2d-89be-9f4219c28447,e171e160717defe27fc83f761e4f3a54e0e786ec90473b6535af6946eae2cdb4
,400,Nana-the-dancer,nana the dancer,Nana is a dancer from Kumasi who performes at well known events all over Ghana.,Female,hair: orange afro; eyes: brown; teeth: none; clothing: yellow patterned kento; accessories: none; expression: hopeful; strength: none; weakness: none,9609d0f4-d9d3-4cff-aa06-a9c459fefa39,90eaaa7dc9f98eaa67ec6a697b8570e9fc968d1799bbacd687f924062ba71ddd
